2018-03-12 21:52:20,140  INFO DefaultTestContextBootstrapper:259 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-03-12 21:52:20,157  INFO DefaultTestContextBootstrapper:185 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@11c537f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@adcae8, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@1e4605c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@727896, org.springframework.test.context.transaction.TransactionalTestExecutionListener@14ace71, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@376cc3]
2018-03-12 21:52:20,481  INFO XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [applicationContext.xml]
2018-03-12 21:52:20,748  INFO GenericApplicationContext:578 - Refreshing org.springframework.context.support.GenericApplicationContext@2a5a5e: startup date [Mon Mar 12 21:52:20 CST 2018]; root of context hierarchy
2018-03-12 21:52:20,819  INFO AutowiredAnnotationBeanPostProcessor:153 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-03-12 21:52:20,882  INFO MLog:80 - MLog clients using log4j logging.
2018-03-12 21:52:21,028  INFO C3P0Registry:204 - Initializing c3p0-0.9.1.2 [built 21-May-2007 15:04:56; debug? true; trace: 10]
2018-03-12 21:52:21,146  INFO LocalContainerEntityManagerFactoryBean:339 - Building JPA container EntityManagerFactory for persistence unit 'default'
2018-03-12 21:52:21,147  WARN HibernatePersistence:41 - HHH015016: Encountered a deprecated javax.persistence.spi.PersistenceProvider [org.hibernate.ejb.HibernatePersistence]; use [org.hibernate.jpa.HibernatePersistenceProvider] instead.
2018-03-12 21:52:21,152  INFO LogHelper:31 - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2018-03-12 21:52:21,232  INFO Version:37 - HHH000412: Hibernate Core {5.0.7.Final}
2018-03-12 21:52:21,234  INFO Environment:213 - HHH000206: hibernate.properties not found
2018-03-12 21:52:21,236  INFO Environment:317 - HHH000021: Bytecode provider name : javassist
2018-03-12 21:52:21,282  INFO Version:66 - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
2018-03-12 21:52:21,416  INFO AbstractPoolBackedDataSource:462 - Initializing c3p0 pool... com.mchange.v2.c3p0.ComboPooledDataSource [ acquireIncrement -> 3, acquireRetryAttempts -> 30, acquireRetryDelay -> 1000, autoCommitOnClose -> false, automaticTestTable -> null, breakAfterAcquireFailure -> false, checkoutTimeout -> 0, connectionCustomizerClassName -> null, connectionTesterClassName -> com.mchange.v2.c3p0.impl.DefaultConnectionTester, dataSourceName -> 31sraa9u7cja241ytw6i3|11ff531, debugUnreturnedConnectionStackTraces -> false, description -> null, driverClass -> oracle.jdbc.driver.OracleDriver, factoryClassLocation -> null, forceIgnoreUnresolvedTransactions -> false, identityToken -> 31sraa9u7cja241ytw6i3|11ff531, idleConnectionTestPeriod -> 0, initialPoolSize -> 3, jdbcUrl -> jdbc:oracle:thin:@192.168.146.145:1521:ORCL, maxAdministrativeTaskTime -> 0, maxConnectionAge -> 0, maxIdleTime -> 0, maxIdleTimeExcessConnections -> 0, maxPoolSize -> 15, maxStatements -> 0, maxStatementsPerConnection -> 0, minPoolSize -> 3, numHelperThreads -> 3, numThreadsAwaitingCheckoutDefaultUser -> 0, preferredTestQuery -> null, properties -> {user=******, password=******}, propertyCycle -> 0, testConnectionOnCheckin -> false, testConnectionOnCheckout -> false, unreturnedConnectionTimeout -> 0, usesTraditionalReflectiveProxies -> false ]
2018-03-12 21:52:21,556  INFO Dialect:156 - HHH000400: Using dialect: org.hibernate.dialect.Oracle10gDialect
2018-03-12 21:52:21,641  INFO LobCreatorBuilderImpl:124 - HHH000424: Disabling contextual LOB creation as createClob() method threw error : java.lang.reflect.InvocationTargetException
2018-03-12 21:52:22,159  INFO SchemaUpdate:105 - HHH000228: Running hbm2ddl schema update
2018-03-12 21:52:28,796  INFO QueryTranslatorFactoryInitiator:47 - HHH000397: Using ASTQueryTranslatorFactory
2018-03-12 21:52:28,913  INFO GenericApplicationContext:960 - Closing org.springframework.context.support.GenericApplicationContext@2a5a5e: startup date [Mon Mar 12 21:52:20 CST 2018]; root of context hierarchy
2018-03-12 21:52:28,914  INFO LocalContainerEntityManagerFactoryBean:462 - Closing JPA EntityManagerFactory for persistence unit 'default'
2018-03-12 21:55:39,076  INFO DefaultTestContextBootstrapper:259 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-03-12 21:55:39,093  INFO DefaultTestContextBootstrapper:185 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1621fe6, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@11c537f, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@adcae8, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1e4605c, org.springframework.test.context.transaction.TransactionalTestExecutionListener@727896, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@14ace71]
2018-03-12 21:55:39,378  INFO XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [applicationContext.xml]
